name,file,component,dtype,shape,bytes,data_start,data_end,file_data_start,file_data_end,layer,expert,matrix,kind
layers.13.ffn.experts.225.w1.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,2048x2048,4194304,2121561432,2125755736,2121735664,2125929968,13,225,w1,weight
layers.13.ffn.experts.225.w2.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,4096x1024,4194304,2125755736,2129950040,2125929968,2130124272,13,225,w2,weight
layers.13.ffn.experts.225.w3.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,2048x2048,4194304,2129950040,2134144344,2130124272,2134318576,13,225,w3,weight
layers.13.ffn.experts.226.w1.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,2048x2048,4194304,2134144344,2138338648,2134318576,2138512880,13,226,w1,weight
layers.13.ffn.experts.226.w2.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,4096x1024,4194304,2138338648,2142532952,2138512880,2142707184,13,226,w2,weight
layers.13.ffn.experts.226.w3.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,2048x2048,4194304,2142532952,2146727256,2142707184,2146901488,13,226,w3,weight
layers.13.ffn.experts.227.w1.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,2048x2048,4194304,2146727256,2150921560,2146901488,2151095792,13,227,w1,weight
layers.13.ffn.experts.227.w2.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,4096x1024,4194304,2150921560,2155115864,2151095792,2155290096,13,227,w2,weight
layers.13.ffn.experts.227.w3.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,2048x2048,4194304,2155115864,2159310168,2155290096,2159484400,13,227,w3,weight
layers.13.ffn.experts.228.w1.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,2048x2048,4194304,2159310168,2163504472,2159484400,2163678704,13,228,w1,weight
layers.13.ffn.experts.228.w2.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,4096x1024,4194304,2163504472,2167698776,2163678704,2167873008,13,228,w2,weight
layers.13.ffn.experts.228.w3.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,2048x2048,4194304,2167698776,2171893080,2167873008,2172067312,13,228,w3,weight
layers.13.ffn.experts.229.w1.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,2048x2048,4194304,2171893080,2176087384,2172067312,2176261616,13,229,w1,weight
layers.13.ffn.experts.229.w2.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,4096x1024,4194304,2176087384,2180281688,2176261616,2180455920,13,229,w2,weight
layers.13.ffn.experts.229.w3.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,2048x2048,4194304,2180281688,2184475992,2180455920,2184650224,13,229,w3,weight
layers.13.ffn.experts.23.w1.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,2048x2048,4194304,2184475992,2188670296,2184650224,2188844528,13,23,w1,weight
layers.13.ffn.experts.23.w2.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,4096x1024,4194304,2188670296,2192864600,2188844528,2193038832,13,23,w2,weight
layers.13.ffn.experts.23.w3.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,2048x2048,4194304,2192864600,2197058904,2193038832,2197233136,13,23,w3,weight
layers.13.ffn.experts.230.w1.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,2048x2048,4194304,2197058904,2201253208,2197233136,2201427440,13,230,w1,weight
layers.13.ffn.experts.230.w2.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,4096x1024,4194304,2201253208,2205447512,2201427440,2205621744,13,230,w2,weight
layers.13.ffn.experts.230.w3.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,2048x2048,4194304,2205447512,2209641816,2205621744,2209816048,13,230,w3,weight
layers.13.ffn.experts.231.w1.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,2048x2048,4194304,2209641816,2213836120,2209816048,2214010352,13,231,w1,weight
layers.13.ffn.experts.231.w2.weight,model-00015-of-00046.safetensors,core_routed_experts,I8,4096x1024,4194304,2213836120,2218030424,2214010352,2218204656,13,231,w2,weight
